City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Salinas,US,36.6777,-121.6555,68.81,63,75,12.66,broken clouds
166,Uruzgan,AF,32.8333,66.0,70.16,10,0,3.76,clear sky
167,Vostok,RU,46.4856,135.8833,50.04,93,51,2.46,broken clouds
168,Tezu,IN,27.9167,96.1667,72.41,97,94,3.18,overcast clouds
169,Svetlyy,RU,54.675,20.1347,55.45,74,8,20.15,clear sky
170,Ainazi,LV,57.8636,24.3578,48.04,94,97,6.78,overcast clouds
171,Mayo,US,38.8876,-76.5119,74.1,80,100,10.36,overcast clouds
172,Puerto Escondido,MX,15.85,-97.0667,86.83,62,75,10.36,broken clouds
173,Maragogi,BR,-9.0122,-35.2225,76.59,85,80,13.71,broken clouds
174,Veracruz,MX,19.3333,-96.6667,92.66,44,23,10.74,few clouds
175,Warwick,US,41.7001,-71.4162,70.88,67,75,25.32,broken clouds
176,Port Lincoln,AU,-34.7333,135.8667,54.91,88,28,5.97,scattered clouds
177,Farafangana,MG,-22.8167,47.8333,70.74,92,17,6.53,few clouds
178,Muscat,OM,23.6139,58.5922,95.02,37,0,7.18,clear sky
179,Aguimes,ES,27.9054,-15.4461,66.83,68,20,18.41,few clouds
180,Elizabeth City,US,36.2946,-76.2511,79.05,79,100,3.44,overcast clouds
181,Hamilton,US,39.1834,-84.5333,73.72,89,75,8.05,broken clouds
182,Luderitz,NA,-26.6481,15.1594,59.29,76,0,3.51,clear sky
183,Radhanpur,IN,23.8333,71.6,84.13,69,0,16.49,clear sky
184,Madang,PG,-5.2246,145.7966,74.71,92,100,5.41,overcast clouds
185,Mareeba,AU,-17.0,145.4333,61.45,94,6,2.57,clear sky
186,Hofn,IS,64.2539,-15.2082,47.05,72,96,14.88,overcast clouds
187,Ibra,OM,22.6906,58.5334,84.79,37,0,5.88,clear sky
188,Bubaque,GW,11.2833,-15.8333,79.43,82,86,16.58,light rain
189,Kapoeta,SS,4.7717,33.5903,76.35,67,59,6.22,broken clouds
190,Pangody,RU,65.85,74.4859,49.87,46,19,13.0,few clouds
191,Kapaa,US,22.0752,-159.319,80.58,73,20,13.8,few clouds
192,Makakilo City,US,21.3469,-158.0858,79.2,50,100,12.66,overcast clouds
193,Bandarbeyla,SO,9.4942,50.8122,80.55,85,82,17.67,broken clouds
194,Anadyr,RU,64.75,177.4833,37.9,86,98,8.95,fog
195,Hannan,JP,34.3217,135.2325,61.97,94,100,8.05,overcast clouds
196,Xingyi,CN,24.1877,102.817,61.93,96,100,1.77,overcast clouds
197,Cairns,AU,-16.9167,145.7667,66.07,100,16,1.14,few clouds
198,Port Macquarie,AU,-31.4333,152.9167,51.89,90,7,4.94,clear sky
199,Mount Gambier,AU,-37.8333,140.7667,51.08,94,100,3.69,overcast clouds
200,Clyde River,CA,70.4692,-68.5914,21.43,58,20,16.11,few clouds
201,Nabire,ID,-3.3667,135.4833,74.19,92,31,3.0,scattered clouds
202,Tiznit,MA,29.5833,-9.5,77.85,40,99,1.72,overcast clouds
203,Chokurdakh,RU,70.6333,147.9167,24.58,77,14,6.11,few clouds
204,Cayenne,GF,4.9333,-52.3333,84.09,15,40,16.11,scattered clouds
205,Mezen,RU,65.8522,44.24,45.7,97,100,8.21,light rain
206,Garachine,PA,8.0647,-78.3628,81.48,79,100,8.81,overcast clouds
207,Sikasso,ML,10.9167,-7.0,87.57,41,16,5.59,few clouds
208,Kyzyl-Suu,KG,42.3414,78.0056,56.61,50,6,3.42,clear sky
209,Hualmay,PE,-11.0964,-77.6139,68.11,71,21,8.79,few clouds
210,Dingle,PH,10.9995,122.6711,76.37,89,100,2.3,overcast clouds
211,Uvinza,TZ,-5.1036,30.3911,69.13,84,83,2.21,broken clouds
212,Noumea,NC,-22.2763,166.4572,75.0,99,100,7.81,overcast clouds
213,Waipawa,NZ,-41.4122,175.5153,46.67,86,96,6.98,overcast clouds
214,Cap Malheureux,MU,-19.9842,57.6142,70.47,77,0,4.0,clear sky
215,Dharchula,IN,29.85,80.5333,69.01,54,95,3.24,overcast clouds
216,Bagdarin,RU,54.4333,113.6,43.81,78,80,5.75,broken clouds
217,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,58,40,10.36,scattered clouds
218,Westport,US,41.1415,-73.3579,72.09,67,75,8.05,broken clouds
219,Nome,US,64.5011,-165.4064,35.67,93,100,6.91,mist
220,Tyrma,RU,50.0833,132.1667,53.49,76,100,3.67,overcast clouds
221,Bay Roberts,CA,47.5999,-53.2648,44.06,69,14,13.0,few clouds
222,Were Ilu,ET,10.6,39.4333,57.79,33,12,8.25,few clouds
223,Laranjeiras Do Sul,BR,-25.4078,-52.4161,64.04,78,100,2.17,overcast clouds
224,Senanga,ZM,-16.1167,23.2667,61.02,42,0,4.99,clear sky
225,Ust-Ishim,RU,57.6935,71.1665,66.52,63,87,11.1,overcast clouds
226,Longyearbyen,SJ,78.2186,15.6401,40.84,81,0,0.0,clear sky
227,Port Blair,IN,11.6667,92.75,82.44,83,40,9.22,mist
228,Fairbanks,US,64.8378,-147.7164,65.3,41,40,13.8,scattered clouds
229,Cassilandia,BR,-19.1133,-51.7342,80.51,31,97,5.61,overcast clouds
230,Dothan,US,31.2232,-85.3905,70.0,75,100,16.82,heavy intensity rain
231,Batouri,CM,4.4333,14.3667,68.11,96,50,3.02,light rain
232,Qianan,CN,44.9932,124.0581,53.89,93,42,4.14,scattered clouds
233,Conceicao Do Araguaia,BR,-8.2578,-49.2647,80.89,65,100,3.56,overcast clouds
234,Guangshui,CN,31.6199,113.9978,62.64,58,98,0.78,overcast clouds
235,Can,TR,40.0333,27.0524,67.15,84,100,3.78,overcast clouds
236,Srednekolymsk,RU,67.45,153.6833,35.17,66,100,18.41,overcast clouds
237,Hervey Bay,AU,-25.2986,152.8535,60.03,96,1,3.0,clear sky
238,Mount Isa,AU,-20.7333,139.5,58.77,63,0,5.75,clear sky
239,Novopokrovka,UA,49.8425,36.5477,52.07,97,28,10.63,scattered clouds
240,Hastings,GB,50.8552,0.5729,59.9,80,100,17.11,overcast clouds
241,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,13,2.68,few clouds
242,Bokoro,TD,12.3807,17.0568,94.21,13,100,7.02,overcast clouds
243,Kharhial,IN,20.2833,82.7667,88.54,31,20,5.91,few clouds
244,Forbes,AU,-33.3833,148.0167,51.91,91,91,2.8,overcast clouds
245,Geelong,AU,-38.1471,144.3607,53.08,93,75,4.0,broken clouds
246,Maltahohe,NA,-24.8333,16.9833,61.59,21,0,6.17,clear sky
