City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
308,Yanam,IN,80.01,few clouds,16.7333,82.2167,The Regency Hotel
309,Afsin,TR,61.47,clear sky,38.2477,36.914,Afsin Ogretmenevi ASO
311,Bac Lieu,VN,82.22,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
312,Isangel,VU,74.73,clear sky,-19.55,169.2667,Tanna Lodge
313,Palmer,US,72.21,broken clouds,42.1584,-72.3287,Wedgewood Motel
314,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
318,Andra,RU,57.58,moderate rain,62.5147,65.8878,"Gostinitsa ""Ob'"""
319,Coquimbo,CL,56.93,scattered clouds,-29.9533,-71.3436,Hotel San Juan
321,Ende,ID,77.68,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
324,Vila Do Maio,CV,74.19,broken clouds,15.1333,-23.2167,Hotel Marilu
325,Wanning,CN,79.2,broken clouds,18.8003,110.3967,Paradise Hotel
326,Tautira,PF,79.56,clear sky,-17.7333,-149.15,Pension Oaoa
327,Mahibadhoo,MV,82.71,overcast clouds,3.7833,72.9667,Omadhoo Inn
328,Bowen,AU,64.98,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
330,Cape Coast,GH,79.05,light rain,5.1053,-1.2466,Samrit Hotel
333,Malanje,AO,63.46,clear sky,-9.5402,16.341,Hotel Ginga
338,Thunder Bay,CA,57.18,overcast clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
339,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
340,Meulaboh,ID,77.74,overcast clouds,4.1363,96.1285,Kost Pria
341,Kali Vrisi,GR,66.4,scattered clouds,41.15,23.9,Εργοστάσιο - Αγγίτης
343,North Bend,US,72.25,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
344,Mandali,IQ,78.82,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
348,Flin Flon,CA,55.24,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
349,Touros,BR,79.86,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
351,Jamkhed,IN,80.46,clear sky,18.7362,75.3121,Ugale's Residence
352,Santa Cruz Cabralia,BR,70.03,clear sky,-16.2781,-39.0247,Puerto Princesa Inn
353,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
355,Jiayuguan,CN,65.3,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
356,Rafaela,AR,57.0,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
358,Batemans Bay,AU,57.09,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
359,Sitka,US,57.09,scattered clouds,57.0531,-135.33,Westmark Sitka
360,Wencheng,CN,66.63,overcast clouds,33.0559,113.7978,Ruyi Hostel
365,Mantua,IT,76.24,scattered clouds,45.1667,10.7833,Hotel la Favorita
366,Catio,GW,79.45,overcast clouds,11.2833,-15.25,Pausada Morabedja
367,Karakol,KG,56.01,clear sky,42.4907,78.3936,"Gostinitsa ""Al'tamira"""
369,Okitipupa,NG,73.99,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
371,Sikonge,TZ,69.84,overcast clouds,-5.6333,32.7667,Pretoria 2 Lodge
372,Victoria,HK,82.18,overcast clouds,22.2855,114.1577,Mini Central
373,Karaton,ID,73.33,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
374,Yenagoa,NG,75.02,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
379,Colwyn Bay,GB,59.74,few clouds,53.2948,-3.7267,Bryn Woodlands House
380,Jackson,US,82.02,clear sky,42.4165,-122.8345,Agate Village Apartments
381,Yulara,AU,56.17,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
382,Amarkantak,IN,74.19,clear sky,22.6667,81.75,STARiHOTELS Amarkantak Madhya Pradesh
383,Ulladulla,AU,55.58,scattered clouds,-35.35,150.4667,Sandpiper Motel
385,Omboue,GA,75.58,overcast clouds,-1.5746,9.2618,Hotel Olako
386,Kedzierzyn-Kozle,PL,61.54,broken clouds,50.3498,18.2261,Hala i korty tenisowe
388,Gladstone,AU,61.79,clear sky,-23.85,151.25,Highpoint International Hotel
390,Byron Bay,AU,58.71,scattered clouds,-28.65,153.6167,Backpackers Inn
391,Kinsale,IE,56.57,few clouds,51.7075,-8.5306,Actons Hotel Kinsale
393,Kavaratti,IN,83.23,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
394,Sao Mateus,BR,70.9,few clouds,-18.7161,-39.8589,Hotel Rio Norte
396,Kisaran,ID,75.13,overcast clouds,2.9845,99.6158,Penginapan Batubara1
397,Dawei,MM,76.1,overcast clouds,14.0833,98.2,Hotel Dawei
398,Bage,BR,56.98,overcast clouds,-31.3314,-54.1069,Hotel Obino - Bagé
401,Havoysund,NO,55.63,few clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
402,Castelnaudary,FR,63.39,scattered clouds,43.3183,1.9545,Hôtel-Restaurant Le Clos Fleuri
403,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
408,Sola,VU,81.05,few clouds,-13.8833,167.55,Leumerus Bungalows
409,Sao Jose Da Coroa Grande,BR,77.04,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
410,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
411,Lincoln,US,66.15,scattered clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
412,Oranjestad,AW,80.74,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
413,Mercedes,AR,55.04,clear sky,-34.6515,-59.4307,Posada del Inti Centro
414,Poso,ID,76.41,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
417,Taltal,CL,63.01,overcast clouds,-25.4,-70.4833,Residencial Karime
420,Canico,PT,69.01,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
421,Neustadt,DE,58.15,clear sky,49.7117,12.0872,Ferienwohnung Weiden - Max Wiesent
422,Luena,AO,56.55,clear sky,-11.7833,19.9167,Hotel Kandamba
425,Lasa,IT,65.28,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
429,Nova Odesa,UA,59.11,broken clouds,47.3078,31.7851,У Саши
430,Chicama,PE,61.34,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
431,Ixtapa,MX,81.63,few clouds,20.7,-105.2,hotel la terminal
435,Superior,US,61.48,overcast clouds,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
436,Nichinan,JP,64.69,overcast clouds,31.6,131.3667,Guest House Aki
437,Guspini,IT,68.54,heavy intensity rain,39.5406,8.6294,Hotel Sa Rocca
439,Tura,IN,70.3,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
440,Tarakan,ID,80.15,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
441,Shambu,ET,55.98,light rain,9.5667,37.1,Wabe Hotel
443,Tecpan,GT,58.62,overcast clouds,14.7623,-90.9947,Villa San Ricardo
445,Bang Mun Nak,TH,83.98,broken clouds,16.0278,100.3792,NIDA Rooms Phichit 55 Bang Mun Nak
447,Kedungwuni,ID,76.06,overcast clouds,-6.9704,109.6479,Ikan Guppy Jenggot Naga
448,Beidao,CN,61.66,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
453,Bengkulu,ID,76.66,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
454,Rosarito,MX,76.62,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
455,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
456,Antofagasta,CL,60.08,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
457,Eyl,SO,81.82,overcast clouds,7.9803,49.8164,Amiin Hotel
459,Benghazi,LY,78.64,clear sky,32.1167,20.0667,Tibesti Hotel
463,Kalmunai,LK,78.73,overcast clouds,7.4167,81.8167,VS Villa
464,Hobyo,SO,79.5,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
467,Mouila,GA,72.55,overcast clouds,-1.8685,11.0559,Hôtel du Lac Bleu
468,Padang,ID,78.08,overcast clouds,-0.9492,100.3543,Mercure Padang
469,Along,IN,69.91,broken clouds,28.1667,94.7667,Hotel West
470,Pisco,PE,65.01,mist,-13.7,-76.2167,Hotel San Isidro Oficial
472,Lubben,DE,64.13,overcast clouds,51.95,13.9,Hotel & Restaurant Spreeblick
474,Shaunavon,CA,71.38,broken clouds,49.6501,-108.4181,Bear's Den Lodge
475,Chengde,CN,56.44,clear sky,40.9725,117.9361,Super 8 Hotel
476,Esik,KZ,60.22,clear sky,43.3552,77.4525,"Gostevoy Dom ""Asyl Tau"""
477,Abashiri,JP,58.98,overcast clouds,44.0213,144.2697,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
479,Grand-Lahou,CI,78.31,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
