City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Yar-Sale,RU,2022-05-23 20:33:17,66.8333,70.8333,36.57,91,100,6.6
262,Meulaboh,ID,2022-05-23 20:33:17,4.1363,96.1285,77.36,88,99,5.14
263,Cherskiy,RU,2022-05-23 20:33:17,68.75,161.3,55.22,44,85,22.5
264,Hofn,IS,2022-05-23 20:33:18,64.2539,-15.2082,45.41,90,91,9.89
265,Anori,BR,2022-05-23 20:33:18,-3.7728,-61.6442,80.51,78,100,2.24
266,Kondopoga,RU,2022-05-23 20:33:18,62.2057,34.2614,44.28,64,100,8.48
267,Waipawa,NZ,2022-05-23 20:33:19,-41.4122,175.5153,46.76,82,5,2.57
268,Mpongwe,ZM,2022-05-23 20:33:19,-13.5091,28.155,57.52,50,0,5.57
269,Sweetwater,US,2022-05-23 20:33:20,25.7634,-80.3731,89.02,66,40,13.8
270,Inuvik,CA,2022-05-23 20:33:20,68.3499,-133.7218,31.21,59,20,6.91
271,Atambua,ID,2022-05-23 20:33:21,-9.1061,124.8925,73.26,88,60,4.29
272,Ilo,PE,2022-05-23 20:33:22,-17.6394,-71.3375,65.26,77,100,5.75
273,Davlekanovo,RU,2022-05-23 20:34:22,54.2215,55.0343,42.04,92,71,3.47
274,Vanderhoof,CA,2022-05-23 20:34:23,54.0166,-124.0198,58.84,39,98,9.6
275,Senovo,SI,2022-05-23 20:34:23,46.0236,15.4769,68.52,75,99,1.14
276,Jawhar,SO,2022-05-23 20:34:23,2.7809,45.5005,78.17,81,75,14.23
277,Minsk,BY,2022-05-23 20:34:24,53.9,27.5667,44.35,72,43,5.75
278,Oistins,BB,2022-05-23 20:34:24,13.0667,-59.5333,84.29,70,20,14.97
279,Quatre Cocos,MU,2022-05-23 20:34:25,-20.2078,57.7625,75.31,67,71,17.16
280,Tamandare,BR,2022-05-23 20:34:25,-8.7597,-35.1047,76.69,87,100,11.81
281,Kavaratti,IN,2022-05-23 20:34:25,10.5669,72.642,83.05,80,100,14.99
282,Kaeo,NZ,2022-05-23 20:34:26,-35.1,173.7833,54.91,69,7,3.69
283,Kaitangata,NZ,2022-05-23 20:34:26,-46.2817,169.8464,51.49,74,27,14.32
284,Vulcan,RO,2022-05-23 20:34:27,45.3833,23.2667,47.52,81,87,2.1
285,Nome,US,2022-05-23 20:34:27,64.5011,-165.4064,56.1,60,0,5.75
286,Haimen,CN,2022-05-23 20:34:27,23.1935,116.6142,71.49,92,100,11.9
287,Garchitorena,PH,2022-05-23 20:34:28,13.8804,123.6946,79.77,85,97,6.08
288,Otjimbingwe,NA,2022-05-23 20:34:28,-22.35,16.1333,65.37,28,100,2.95
289,Yei,SS,2022-05-23 20:30:14,4.095,30.6779,68.09,96,100,0.96
290,Port Victoria,KE,2022-05-23 20:34:29,0.0939,33.9756,70.41,78,80,6.82
291,Sayanogorsk,RU,2022-05-23 20:34:29,53.0875,91.3997,52.07,88,71,2.89
292,Alice Springs,AU,2022-05-23 20:34:29,-23.7,133.8833,49.55,76,100,0.0
293,Takoradi,GH,2022-05-23 20:33:16,4.8845,-1.7554,78.3,83,98,8.28
294,Mountain Home,US,2022-05-23 20:34:30,43.133,-115.6912,65.68,24,100,8.05
295,Ketchikan,US,2022-05-23 20:34:10,55.3422,-131.6461,50.47,81,100,9.22
